API WELL NUMBER,CV_TWPNM,CONAME,Company Phone,WELL NAME,WELL NUMBER,PRODUCING FORMATION,COMPLETED DATE,SECTION,LOT,WELL LATITUDE,WELL LONGITUDE,TANK LATITUDE,TANK LONGITUDE,NUMBER OF STORAGE TANKS,MAXIMUM STORAGE CAPACITY,CNTY_APINO,Nearest_SWIW_API,Nearest_SWIW_km
34005201060000,HANOVER,COLUMBIA GAS TRANSMISSION LLC,+1 (231) 349-4105,AMANDA O'HARA     1,1,CLINTON GROUP,13995.0,15.0,,40.5966688899364,-82.261747452345,40.59672,-82.26164,0.0,0.0,5,34083240720000,18.30856261640469
34005201070000,HANOVER,COLUMBIA GAS TRANSMISSION LLC,+1 (231) 349-4105,GEORGE ARNDT (IDA MAPES)     1,1,CLINTON GROUP,26101.0,15.0,,40.6003089730462,-82.2620974707883,,,2.0,200.0,5,34083240720000,18.706361466971607
34005201080000,JACKSON,HOTTEL OIL AND GAS INC,3306211390,L. HALL     1,1,CLINTON GROUP,14037.0,22.0,,40.9444692121425,-82.1595797606658,40.94447,-82.15958,0.0,0.0,5,34005611260000,12.350081559175736
34005201100000,LAKE,MOUNT RICHARD,7403230228,EASLEY     1,1,BEREA SANDSTONE,14159.0,21.0,,40.5967346965722,-82.261649367461,,,,,5,34083240720000,18.316883446011918
34005201120000,HANOVER,COLUMBIA GAS TRANSMISSION LLC,+1 (231) 349-4105,MARY EMERY EST.     10966,1,CLINTON GROUP,26147.0,15.0,,40.6041990921263,-82.266487395311,,,,,5,34083240720000,19.09429474783336
34005201130000,LAKE,MOUNT RICHARD,7403230228,E. MORRIS     2,2,CLINTON GROUP,14198.0,2.0,,40.7212583677899,-82.1422607565867,,,,,5,34005613690000,12.410792502709503
34005201150000,HANOVER,COLUMBIA GAS TRANSMISSION LLC,+1 (231) 349-4105,MAPES I     2,2,CLINTON SAND,14223.0,15.0,,40.6006590145836,-82.2665273703227,40.6007,-82.26632,2.0,200.0,5,34083240720000,18.70240140489534
34005201160000,LAKE,HISTORIC OWNER,6148885080,HORN     9,9,BEREA SANDSTONE,14235.0,21.0,,40.6754221103509,-82.1692509798293,,,1.0,200.0,5,34005617790000,17.65797406118324
34005201170000,LAKE,HARLEY DRILLING & PRODUCING LTD,+1 (330) 948-1054,LEININGER (EASLEY)     1,1,BEREA SANDSTONE,14363.0,21.0,,40.6763676214134,-82.1706378919757,40.67632,-82.16718,2.0,200.0,5,34005617790000,17.566953361329354
34005201200000,MIFFLIN,HISTORIC OWNER,6148885080,GONYER     2,2,BEREA SANDSTONE,14381.0,12.0,,40.6007218248698,-82.2663561438541,,,,,5,34083240720000,18.710855651143653
34005201250000,JACKSON,HISTORIC OWNER,6148885080,L. HALL     2,2,CLINTON SAND,14738.0,22.0,,40.9412430665101,-82.1639327400721,,,,,5,34005611260000,12.056355043369246
34005201350000,LAKE,HISTORIC OWNER,6148885080,EARLY     4,4,BEREA SANDSTONE,15117.0,21.0,,40.6749244100719,-82.1737346713272,,,,,5,34005617790000,17.758835694096042
34005201380000,JACKSON,RALPH E SHORTS DRILLING,4198534442,FRANKS     1,1,BEREA SANDSTONE,15140.0,22.0,,40.9355341451185,-82.1640739473596,40.93594,-82.16396,1.0,100.0,5,34005611260000,11.434952278539367
34005201590000,LAKE,HISTORIC OWNER,6148885080,CHESTER JAMES     1,1,CLINTON GROUP,15502.0,15.0,,40.6951949226223,-82.1630037903003,,,,,5,34005617790000,15.416929868643312
34005201600000,LAKE,HISTORIC OWNER,6148885080,MOSHER A     1,1,CLINTON SAND,,23.0,,40.6811346043137,-82.1349919144305,,,,,5,34005613690000,16.87835115354072
34005201670000,LAKE,HISTORIC OWNER,6148885080,MOSHER HENRY W 5,5,BEREA SANDSTONE,14768.0,22.0,,40.6683983159718,-82.1609768837068,,,,,5,34005613690000,18.367780789101875
34005201680000,MIFFLIN,HISTORIC OWNER,6148885080,SEISS H & B 1,1,BEREA SANDSTONE,14856.0,1.0,,40.8071337842541,-82.3515514164402,,,,,5,34005617790000,17.5449942658604
34005201770000,JACKSON,HISTORIC OWNER,6148885080,FRANKS L 6,6,BEREA SANDSTONE,15303.0,22.0,,40.9366125681072,-82.1639671262523,,,,,5,34005611260000,11.550944535397209
34005201830000,JACKSON,HISTORIC OWNER,6148885080,FRANKS L 3,3,BEREA SANDSTONE,15467.0,22.0,,40.9361434638509,-82.1621851462382,,,1.0,96.0,5,34005611260000,11.472155389498425
34005207100000,JACKSON,HISTORIC OWNER,6148885080,MCFREDERICK LEE E 2,2,CLINTON SAND,11466.0,11.0,,40.9647081045104,-82.1365729486691,,,,,5,34005611260000,14.466073750765808
34005207170000,JACKSON,RALPH E SHORTS DRILLING,4198534442,HEFFELINGER,5,BEREA SANDSTONE,19168.0,33.0,,40.9127637540476,-82.1743018494102,40.91282,-82.1742,2.0,200.0,5,34005617790000,9.159130399895698
34005207180000,JACKSON,RALPH E SHORTS DRILLING,4198534442,STEELE 1,1,,19176.0,22.0,,40.9368151670845,-82.1609836824602,40.9381,-82.16208,1.0,100.0,5,34005611260000,11.528247283928382
34005207190000,MIFFLIN,COLUMBIA GAS TRANSMISSION LLC,+1 (231) 349-4105,TUCKER F Z     2-9096,2,CLINTON GROUP,19200.0,2.0,,40.8114632419158,-82.3680040104983,,,,,5,34005617790000,18.84327361238257
34005207200000,MIFFLIN,COLUMBIA GAS TRANSMISSION LLC,+1 (231) 349-4105,ROCKENFELDER MILO 1,1,CLINTON SAND,19246.0,1.0,,40.807953150718,-82.3507447020295,,,0.0,0.0,5,34005617790000,17.463044850327467
34005207210000,MIFFLIN,COLUMBIA GAS TRANSMISSION LLC,+1 (231) 349-4105,KARNS MYRTLE M 1-9095,1-9095,,19218.0,2.0,,40.8138532751399,-82.371793848086,,,,,5,34005617790000,19.12746413619593
34005207240000,JACKSON,RALPH E SHORTS DRILLING,4198534442,WRIGHT 6,6,,19195.0,15.0,,40.9467558207595,-82.1568530050829,40.94608,-82.1571,2.0,200.0,5,34005611260000,12.570548585360033
34005207260000,JACKSON,RALPH E SHORTS DRILLING,4198534442,STANISLAWSKI     5 (8),5 (8),BEREA SANDSTONE,19235.0,33.0,,40.9049497218727,-82.1684619081453,40.90542,-82.16723,1.0,100.0,5,34005617790000,8.196102966000447
34005207330000,MIFFLIN,COLUMBIA GAS TRANSMISSION LLC,+1 (231) 349-4105,BOOTH IL 1-9103,1-9103,,19274.0,1.0,,40.8085831656191,-82.3534045948063,,,,,5,34005617790000,17.67290153590342
34005207500000,MIFFLIN,COLUMBIA GAS TRANSMISSION LLC,+1 (231) 349-4105,EMMONS HAROLD     1-9107,1,CLINTON GROUP,19260.0,1.0,,40.8060131209381,-82.3470748572285,,,,,5,34005617790000,17.19524418693717
34005207510000,MIFFLIN,COLUMBIA GAS TRANSMISSION LLC,+1 (231) 349-4105,THIEL ETHEL 1,1,CLINTON SAND,19253.0,1.0,,40.8090131472745,-82.3472648296238,,,,,5,34005617790000,17.15507064888175
34005207580000,JACKSON,RALPH E SHORTS DRILLING,4198534442,HEFFELINGER,6,BEREA SANDSTONE,19207.0,33.0,,40.9128137539944,-82.1735718879549,40.9123,-82.17346,2.0,200.0,5,34005617790000,9.148710185092078
34005207880000,LAKE,HARLEY DRILLING & PRODUCING LTD,+1 (330) 948-1054,MASON (DERRENBERGER)     3,5,BEREA SANDSTONE,19264.0,22.0,,40.67994069,-82.16351265,,,2.0,200.0,5,34005617790000,17.110127607060143
34005207890000,JACKSON,HISTORIC OWNER,6148885080,STEELE BESSIE C 2,2,BEREA SANDSTONE,19259.0,22.0,,40.9418297935937,-82.1637017169481,,,,,5,34005611260000,12.117030089712891
34005208000000,JACKSON,HISTORIC OWNER,6148885080,CULLER IRA V 4,4,BEREA SANDSTONE,19312.0,15.0,,40.9462857854864,-82.1566310068729,,,,,5,34005611260000,12.516347630959853
34005208030000,JACKSON,HISTORIC OWNER,6148885080,STEELE BESSIE C,1,BEREA SANDSTONE,19256.0,22.0,,40.9391688836872,-82.164254562028,,,,,5,34005611260000,11.834651429170757
34005208130000,HANOVER,HISTORIC OWNER,6148885080,GOFFINET AG 2,2,CLINTON SAND,8944.0,22.0,,40.5831110559388,-82.2640599109368,,,,,5,34083240720000,16.788407322934447
34005208140000,HANOVER,HISTORIC OWNER,6148885080,CANNAN HARRY 1,1,CLINTON SAND,5373.0,10.0,,40.6169028857567,-82.2635077114233,,,,,5,34083240720000,20.525457157345397
34005208330000,MIFFLIN,COLUMBIA GAS TRANSMISSION LLC,+1 (231) 349-4105,GOARD STANLEY E 1-9155,1-9155,,19379.0,12.0,,40.7985030837805,-82.3543846244221,,,,,5,34005617790000,17.962919650627803
34005202000000,LAKE,HISTORIC OWNER,6148885080,CABLE EA,3,CLINTON SAND,15734.0,9.0,,40.6771338666371,-82.3368009035977,,,,,5,34005617790000,23.659920877795447
34005202120000,MIFFLIN,COLUMBIA GAS TRANSMISSION LLC,+1 (231) 349-4105,KRABILL HENRY     1,1,CLINTON SAND,15952.0,25.0,,40.7556526688959,-82.3419853959621,40.75571,-82.3419,1.0,100.0,5,34005617790000,18.62337650067156
34005202150000,MIFFLIN,COLUMBIA GAS TRANSMISSION LLC,+1 (231) 349-4105,COLE ROLLA W 1,1,CLINTON SAND,15987.0,24.0,,40.7609227079868,-82.3404654195369,,,,,5,34005617790000,18.24373971582728
34005202300000,HANOVER,COLUMBIA GAS TRANSMISSION LLC,+1 (231) 349-4105,MUMPER CORA 1,1,CLINTON SAND,16263.0,3.0,,40.633449766994,-82.2710774713998,,,,,5,34083240720000,22.301885493559567
34005202340000,HANOVER,HISTORIC OWNER,6148885080,MUMPER CORA L 2,2,CLINTON SAND,16329.0,3.0,,40.6020108890784,-82.2477586529348,,,,,5,34083240720000,19.080716031162044
34005202420000,LAKE,HISTORIC OWNER,6148885080,FISHER CLAUD W 1,1,CLINTON SAND,16480.0,20.0,,40.6721559133394,-82.1899599898968,,,,,5,34005617790000,18.291551830193594
34005202470000,HANOVER,HISTORIC OWNER,6148885080,MUMPER RALPH 1,1,CLINTON SAND,16497.0,3.0,,40.6346882226856,-82.2762349273223,,,,,5,34083240720000,22.41323663240299
