"OGO","OPERATOR","CLIENT_STATUS","API","PF_TYPE","OTHER_TYPE","FARM","SPUD_DATE","WELL_STATUS","WELL_TYPE","IIJA_IND","UNCONVENTIONAL","CONSERVATION","CONFIGURATION","LATITUDE","LONGITUDE","LATITUDE_DECIMAL","LONGITUDE_DECIMAL","REGION","COUNTY","MUNICIPALITY","ADDRESS1","ADDRESS2","CITY","STATE","ZIP","WELL_PAD","WELL_PAD_ID","SITE_ID","PLUG_COMPLETED_DATE","PRIMARY_FACILITY_ID","CLIENT_ID"
"OGO-46910","ALPHA WELLS INC","Active, Non-Govt","031-01492","OGL","OGW","TW PHILLIPS 1","1/01/1800","Plugged OG Well","GAS","","No","No","Vertical Well","41° 8' 52.346''","-79° 24' 17.780''",41.147874,-79.404939,"EP DOGO NWDO Dstr Off","Clarion","Monroe Twp","PO BOX 385","","CLARION","PA","16214-0385","","",19161,"3/30/2023",20912,49819
"OGO-69040","ANDERSON ENERGY SVC LLC","Active, Non-Govt","053-30130","OGL","OGW","KLINE 26","2/27/2012","Plugged OG Well","OIL","","No","No","Vertical Well","41° 33' 31.52''","-79° 29' 16.18''",41.558756,-79.487828,"EP DOGO NWDO Dstr Off","Forest","Harmony Twp","182 KEENAN ST","814-706-2421","CLARENDON","PA","16313-4238","","",755045,"7/01/2024",747264,354984
"OGO-69040","ANDERSON ENERGY SVC LLC","Active, Non-Govt","053-30572","OGL","OGW","RENSMA 1","10/08/2014","Plugged OG Well","OIL","","No","No","Vertical Well","41° 34' 36.48''","-79° 29' 22.41''",41.5768,-79.489558,"EP DOGO NWDO Dstr Off","Forest","Harmony Twp","182 KEENAN ST","814-706-2421","CLARENDON","PA","16313-4238","","",778245,"6/24/2024",770506,354984
"OGO-69040","ANDERSON ENERGY SVC LLC","Active, Non-Govt","053-30573","OGL","OGW","RENSMA 2","10/10/2014","Plugged OG Well","OIL","","No","No","Vertical Well","41° 34' 36.47''","-79° 29' 26.29''",41.576797,-79.490636,"EP DOGO NWDO Dstr Off","Forest","Harmony Twp","182 KEENAN ST","814-706-2421","CLARENDON","PA","16313-4238","","",778246,"5/25/2024",770507,354984
"OGO-69040","ANDERSON ENERGY SVC LLC","Active, Non-Govt","053-30579","OGL","OGW","RENSMA 8","10/17/2014","Plugged OG Well","OIL","","No","No","Vertical Well","41° 34' 33.49''","-79° 29' 22.86''",41.575969,-79.489683,"EP DOGO NWDO Dstr Off","Forest","Harmony Twp","182 KEENAN ST","814-706-2421","CLARENDON","PA","16313-4238","","",778259,"6/08/2024",770517,354984
"OGO-69128","ANTHONY 564 OGL LLC","Active, Non-Govt","117-20625","OGL","OGW","ANTHONY 564 1V","7/08/2010","Plugged OG Well","GAS","","Yes","No","Vertical Well","41° 39' 18.99''","-77° 25' 1.37''",41.655275,-77.417047,"EP DOGO NCDO Dstr Off","Tioga","Delmar Twp","2620 EGYPT RD","","NORRISTOWN","PA","19403","ANTHONY 564",146776,731271,"5/24/2023",727976,350398
"OGO-39623","APOLLO RESOURCES LLC","Active, Non-Govt","051-23022","OGL","OGW","PICCOLOMINI UNIT 3","7/15/2006","Plugged OG Well","COMB. OIL&GAS","","No","No","Vertical Well","39° 59' 5.9909''","-79° 45' 34.833''",39.984997,-79.759676,"EP DOGO SWDO Dstr Off","Fayette","Franklin Twp","PO BOX 222","187 SECOND ST","VINTONDALE","PA","15961-0222","","",662243,"8/13/2024",673075,306576
"OGO-39623","APOLLO RESOURCES LLC","Active, Non-Govt","129-24929","OGL","OGW","CORBETT 1","4/19/2004","Plugged OG Well","COALBED METHANE","","No","No","Vertical Well","40° 24' 6.9012''","-79° 16' 34.903''",40.401917,-79.276362,"EP DOGO SWDO Dstr Off","Westmoreland","Derry Twp","PO BOX 222","187 SECOND ST","VINTONDALE","PA","15961-0222","","",607403,"11/08/2022",631156,306576
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-20654","OGL","OGW","WARRANT 2033 032","3/27/1981","DEP Plugged","INJECTION","NO","No","No","Vertical Well","41° 31' 36.588''","-78° 55' 41.570''",41.52683,-78.928214,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",32931,"1/28/2025",34683,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-20655","OGL","OGW","WARRANT 2033 033","3/31/1981","DEP Plugged","INJECTION","NO","No","No","Vertical Well","41° 31' 38.240''","-78° 55' 30.633''",41.527289,-78.925176,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",32932,"2/27/2025",34684,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-20658","OGL","OGW","WARRANT 2033 036","6/27/1980","DEP Plugged","INJECTION","NO","No","No","Vertical Well","41° 31' 30.957''","-78° 55' 40.029''",41.525266,-78.927786,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",32935,"12/27/2024",34687,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-20659","OGL","OGW","WARRANT 2033 037","7/30/1980","DEP Plugged","INJECTION","NO","No","No","Vertical Well","41° 31' 24.69''","-78° 55' 47.200''",41.523525,-78.929778,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",32936,"11/06/2024",34688,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-20660","OGL","OGW","WARRANT 2033 038","6/24/1980","DEP Plugged","INJECTION","NO","No","No","Vertical Well","41° 31' 26.238''","-78° 55' 39.111''",41.523955,-78.927531,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",32937,"11/28/2024",34689,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-20812","OGL","OGW","HIGHLAND WARRANT 2033 076","5/31/1981","DEP Plugged","INJECTION","","No","No","Vertical Well","41° 31' 43.762''","-78° 54' .3744''",41.528823,-78.900104,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",33089,"2/19/2024",34841,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-20874","OGL","OGW","HIGHLAND WARRANT 2033 074","6/12/1981","DEP Plugged","INJECTION","","No","No","Vertical Well","41° 31' 38.589''","-78° 54' 22.143''",41.527386,-78.906151,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",33151,"2/05/2024",34903,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-21126","OGL","OGW","WOOD & YOUNG 01","6/12/1982","DEP Plugged","INJECTION","","No","No","Vertical Well","41° 31' 55.11''","-78° 54' 26.892''",41.531975,-78.90747,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",33403,"1/09/2024",35155,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-21127","OGL","OGW","WOOD & YOUNG 02","7/02/1982","DEP Plugged","INJECTION","","No","No","Vertical Well","41° 31' 56.776''","-78° 54' 15.598''",41.532438,-78.904333,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",33404,"2/26/2024",35156,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-21128","OGL","OGW","WOOD & YOUNG 04","6/17/1982","DEP Plugged","INJECTION","","No","No","Vertical Well","41° 31' 50.030''","-78° 54' 25.484''",41.530564,-78.907079,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",33405,"1/12/2024",35157,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-21129","OGL","OGW","WOOD & YOUNG 05","6/10/1982","DEP Plugged","INJECTION","","No","No","Vertical Well","41° 31' 52.291''","-78° 54' 14.587''",41.531192,-78.904052,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",33406,"1/29/2024",35158,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-21130","OGL","OGW","WOOD & YOUNG 07","6/21/1982","DEP Plugged","INJECTION","","No","No","Vertical Well","41° 31' 45.379''","-78° 54' 23.428''",41.529272,-78.906508,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",33407,"1/22/2024",35159,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-21133","OGL","OGW","WOOD & YOUNG 08","6/22/1982","DEP Plugged","INJECTION","","No","No","Vertical Well","41° 31' 47.042''","-78° 54' 13.197''",41.529734,-78.903666,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",33410,"3/04/2024",35162,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-21147","OGL","OGW","GILBERT 05","6/19/1982","Plugged OG Well","INJECTION","","No","No","Vertical Well","41° 32' 2.0148''","-78° 54' 17.982''",41.533893,-78.904995,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",33424,"12/26/2023",35176,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-21345","OGL","OGW","HIGHLAND WARRANT 2033 0105","10/11/1983","DEP Plugged","INJECTION","NO","No","No","Vertical Well","41° 31' 43.820''","-78° 55' 32.444''",41.528839,-78.925679,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",33622,"2/07/2025",35374,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-21347","OGL","OGW","LAMONT 300 AC 04","9/29/1983","DEP Plugged","INJECTION","NO","No","No","Vertical Well","41° 31' 58.490''","-78° 55' 37.542''",41.532914,-78.927095,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",33624,"2/19/2025",35376,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-21349","OGL","OGW","LAMONT 300 AC 011","9/27/1983","DEP Plugged","INJECTION","NO","No","No","Vertical Well","41° 31' 53.590''","-78° 55' 35.569''",41.531553,-78.926547,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",33626,"2/05/2025",35378,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-21360","OGL","OGW","GILBERT 06","12/02/1983","DEP Plugged","INJECTION","","No","No","Vertical Well","41° 32' 3.6312''","-78° 54' 7.11''",41.534342,-78.901975,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",33637,"1/25/2024",35389,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-21361","OGL","OGW","GILBERT 07","11/21/1983","DEP Plugged","INJECTION","","No","No","Vertical Well","41° 31' 58.818''","-78° 54' 5.5224''",41.533005,-78.901534,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",33638,"1/31/2024",35390,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-21367","OGL","OGW","WOOD & YOUNG 06","10/13/1983","DEP Plugged","INJECTION","","No","No","Vertical Well","41° 31' 53.857''","-78° 54' 3.4668''",41.531627,-78.900963,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",33644,"2/08/2024",35396,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-21368","OGL","OGW","WOOD & YOUNG 09","10/11/1983","DEP Plugged","INJECTION","","No","No","Vertical Well","41° 31' 48.918''","-78° 54' 2.0628''",41.530255,-78.900573,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",33645,"2/13/2024",35397,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-21831","OGL","OGW","WARRANT 3664 011","9/27/1985","DEP Plugged","INJECTION","NO","No","No","Vertical Well","41° 31' 4.7568''","-78° 56' 3.5376''",41.517988,-78.934316,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",34108,"2/28/2025",35860,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-21907","OGL","OGW","WARRANT 3664 02","7/25/1985","DEP Plugged","INJECTION","","No","No","Vertical Well","41° 31' 34.356''","-78° 55' 52.557''",41.52621,-78.931266,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",34184,"11/12/2024",35936,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-21908","OGL","OGW","WARRANT 3664 03","7/24/1985","DEP Plugged","INJECTION","NO","No","No","Vertical Well","41° 31' 29.661''","-78° 55' 51.121''",41.524906,-78.930867,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",34185,"10/28/2024",35937,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-21909","OGL","OGW","WARRANT 3664 04","8/15/1985","DEP Plugged","INJECTION","NO","No","No","Vertical Well","41° 31' 16.911''","-78° 55' 58.17''",41.521364,-78.932825,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",34186,"3/31/2025",35938,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-21910","OGL","OGW","WARRANT 3664 05","8/19/1985","DEP Plugged","INJECTION","NO","No","No","Vertical Well","41° 31' 11.971''","-78° 55' 56.195''",41.519992,-78.932277,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",34187,"3/14/2025",35939,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-21911","OGL","OGW","WARRANT 3664 06","8/20/1985","DEP Plugged","INJECTION","NO","No","No","Vertical Well","41° 31' 17.918''","-78° 56' 20.486''",41.521644,-78.939024,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",34188,"3/10/2025",35940,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-22010","OGL","OGW","WARRANT 3664 01","7/31/1985","DEP Plugged","INJECTION","NO","No","No","Vertical Well","41° 31' 39.604''","-78° 55' 54.163''",41.527668,-78.931712,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",34287,"10/17/2024",36039,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-22058","OGL","OGW","WARRANT 3664 014","8/13/1986","DEP Plugged","INJECTION","NO","No","No","Vertical Well","41° 31' 37.264''","-78° 56' 3.5592''",41.527018,-78.934322,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",34333,"10/17/2024",36085,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-22059","OGL","OGW","WARRANT 3664 016","8/01/1986","DEP Plugged","INJECTION","NO","No","No","Vertical Well","41° 31' 27.926''","-78° 56' .4596''",41.524424,-78.933461,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",34334,"12/04/2024",36086,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-22060","OGL","OGW","WARRANT 3664 017","7/29/1986","DEP Plugged","INJECTION","NO","No","No","Vertical Well","41° 31' 22.897''","-78° 55' 58.598''",41.523027,-78.932944,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",34335,"11/22/2024",36087,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-22061","OGL","OGW","WARRANT 3664 018","8/14/1986","DEP Plugged","INJECTION","NO","No","No","Vertical Well","41° 31' 17.701''","-78° 55' 58.17''",41.521584,-78.932825,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",34336,"3/21/2025",36088,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-22076","OGL","OGW","WARRANT 3664 015","8/05/1986","DEP Plugged","OIL","NO","No","No","Vertical Well","41° 31' 32.365''","-78° 56' 3.3''",41.525657,-78.93425,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",34351,"11/15/2024",36103,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-22603","OGL","OGW","WARRANT 3664 029","9/14/1988","DEP Plugged","INJECTION","NO","No","No","Vertical Well","41° 31' 20.967''","-78° 56' 9.2976''",41.522491,-78.935916,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",34875,"12/16/2024",36627,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-24063","OGL","OGW","WARRANT 3783 296","9/05/2008","Plugged OG Well","OIL","","No","No","Vertical Well","41° 34' 12.724''","-78° 54' 7.6096''",41.570201,-78.902114,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",701475,"5/09/2024",702928,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-24082","OGL","OGW","WARRANT 3783 287","7/15/2008","DEP Plugged","INJECTION","","No","No","Vertical Well","41° 34' 19.424''","-78° 54' 15.609''",41.572062,-78.904336,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",701465,"3/27/2024",702918,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-24083","OGL","OGW","WARRANT 3783 289","9/08/2008","DEP Plugged","INJECTION","","No","No","Vertical Well","41° 34' 14.324''","-78° 54' 13.909''",41.570646,-78.903864,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",701466,"10/09/2023",702919,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-24086","OGL","OGW","WARRANT 3783 297","11/05/2008","DEP Plugged","INJECTION","","No","No","Vertical Well","41° 34' 7.4247''","-78° 54' 23.210''",41.568729,-78.906447,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",701482,"2/22/2024",702932,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-24112","OGL","OGW","WARRANT 3783 295","8/29/2008","DEP Plugged","INJECTION","","No","No","Vertical Well","41° 34' 11.924''","-78° 54' 24.010''",41.569979,-78.906669,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",702681,"11/02/2023",703920,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-24119","OGL","OGW","WARRANT 3783 300","7/30/2008","Plugged OG Well","OIL","","No","No","Vertical Well","41° 34' 15.624''","-78° 54' 20.11''",41.571007,-78.905586,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",702686,"4/01/2024",703924,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-24217","OGL","OGW","WARRANT 3783 303","10/28/2008","DEP Plugged","INJECTION","","No","No","Vertical Well","41° 34' 5.9248''","-78° 54' 33.110''",41.568312,-78.909197,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",702689,"2/29/2024",703926,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-24332","OGL","OGW","WARRANT 3783 381","7/14/2010","DEP Plugged","INJECTION","","No","No","Vertical Well","41° 34' 32.424''","-78° 54' 31.010''",41.575673,-78.908614,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",720610,"3/19/2024",719027,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-24333","OGL","OGW","WARRANT 3783 383","7/28/2010","DEP Plugged","INJECTION","","No","No","Vertical Well","41° 34' 27.424''","-78° 54' 29.510''",41.574285,-78.908197,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",720612,"3/08/2024",719031,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-24334","OGL","OGW","WARRANT 3783 385","7/26/2010","DEP Plugged","INJECTION","","No","No","Vertical Well","41° 34' 24.024''","-78° 54' 28.910''",41.57334,-78.908031,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",720614,"3/15/2024",719034,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-24335","OGL","OGW","WARRANT 3783 387","5/17/2010","DEP Plugged","INJECTION","","No","No","Vertical Well","41° 34' 17.124''","-78° 54' 24.910''",41.571424,-78.906919,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",720616,"10/13/2023",719036,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-24343","OGL","OGW","WARRANT 3783 389","8/10/2010","DEP Plugged","INJECTION","","No","No","Vertical Well","41° 34' 10.424''","-78° 54' 35.610''",41.569562,-78.909892,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",720766,"3/05/2024",719188,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-24606","OGL","OGW","WARRANT 3783 455","1/19/2012","Plugged OG Well","COMB. OIL&GAS","","No","No","Vertical Well","41° 34' 24.3''","-78° 53' 43.8''",41.573417,-78.8955,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",749895,"4/29/2024",743087,149136
"OGO-61865","ARG RESOURCES INC","Active, Non-Govt","047-24608","OGL","OGW","WARRANT 3783 461","12/16/2011","DEP Plugged","INJECTION","NO","No","No","Vertical Well","41° 34' 11.5''","-78° 54' 1.5''",41.569861,-78.900417,"EP DOGO NWDO Dstr Off","Elk","Highland Twp","285 CUSTOM LUMBER LN","","KANE","PA","16735-6405","","",749898,"4/15/2025",743092,149136
